activity,integration_id,count
Cricket (disability),getactive-essex-spreadsheet,1
Cricket (disability),getactive-london,1
"Cricket, Football",gloucestershire-spreadsheet,1
Cricket (Indoor),getactive-london,24
"Cricket (Indoor), Disability Sports",getactive-hampshire-and-isle-of-wight-spreadsheet,1
Croquet,getactive-essex-spreadsheet,8
Croquet,getactive-hampshire-and-isle-of-wight-spreadsheet,5
Croquet,getactive-london,13
Cross-Country Running,getactive-london,8
CrossFit,opensessions,1
Cross-Fit,getactive-essex-spreadsheet,11
Cross-Fit,getactive-hampshire-and-isle-of-wight-spreadsheet,3
Cross-Fit,getactive-london,9
"Cross-Fit, Personal Training",getactive-essex-spreadsheet,1
Curling,getactive-london,4
Cycling,british-cycling,42132
Cycling,getactive-essex-spreadsheet,27
Cycling,getactive-hampshire-and-isle-of-wight-spreadsheet,17
Cycling,getactive-london,125
Cycling,girls-move-london-spreadsheet,2
Cycling,gloucestershire-spreadsheet,9
Cycling,opensessions,8
Cycling,ourparks,2
"Cycling, BMX, Archery, Outdoor Pursuits, Climbing",getactive-essex-spreadsheet,1
Cycling (Custom),iwillifyouwill,1
"Cycling, Cycling (Disability)",getactive-essex-spreadsheet,1
"Cycling, Cycling (Disability)",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Cycling, Cycling (Disability), Disability Cycling",getactive-hampshire-and-isle-of-wight-spreadsheet,1
Cycling (Disability),getactive-essex-spreadsheet,1
Cycling (Disability),getactive-hampshire-and-isle-of-wight-spreadsheet,2
Cycling (Disability),getactive-london,7
"Cycling, Family cycle ride",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Cycling, Fishing",getactive-essex-spreadsheet,2
"Cycling, Fishing, Football",getactive-essex-spreadsheet,1
"Cycling, Fishing, Orienteering",getactive-essex-spreadsheet,1
Daisy Birthing Active Birthing Movement-Based A...,getactive-london,1
Dance,getactive-essex-spreadsheet,49
Dance,getactive-hampshire-and-isle-of-wight-spreadsheet,19
Dance,getactive-london,388
Dance,girls-move-london-spreadsheet,17
Dance,opensessions,12
"Dance, 50+ Exercise",getactive-essex-spreadsheet,1
Dance and fitness,iwillifyouwill,97
"Dance, Ballet",getactive-essex-spreadsheet,1
"Dance, Ballet",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Dance, Ballet, Tap Dancing",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Dance, Cheerleading",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Dance, Dance",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Dance, Dance, Ballet, Dance Studio",getactive-essex-spreadsheet,1
"Dance, Dance, Dance, Ballet, Dance Studio",getactive-essex-spreadsheet,1
"Dance, Dance, Dance Studio, Dance Fitness",getactive-essex-spreadsheet,1
"Dance, Dance, Disability Sports",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Dance, Dance Fitness, Disability Sports",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Dance, Dance, Historical Dance",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Dance, Dance, Youth Dance, Kidz Fitness",getactive-hampshire-and-isle-of-wight-spreadsheet,1
Dance Exercise/Zumba,getactive-essex-spreadsheet,1
Dance Exercise/Zumba,getactive-london,15
Dance Fit,ourparks,237
Dance Fit/Full Body Workout,ourparks,1
Dance Fitness,getactive-essex-spreadsheet,3
Dance Fitness,getactive-hampshire-and-isle-of-wight-spreadsheet,1
Dance Fitness,getactive-london,77
"Dance Fitness, Fitness, Fitness, Fitness",getactive-essex-spreadsheet,1
"Dance Fitness, Fitness, Keep Fit",getactive-essex-spreadsheet,1
"Dance, Fitness, Squash, Gym",getactive-essex-spreadsheet,1
"Dance, Indoor Activity",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Dance, Modern Jive",getactive-hampshire-and-isle-of-wight-spreadsheet,1
Dance movement for health & wellbeing,opensessions,12
"Dance, Rock n Roll Dance",getactive-essex-spreadsheet,1
"Dance, Scottish Dancing",getactive-hampshire-and-isle-of-wight-spreadsheet,1
Dance Sport,opensessions,12
Dance Studio,getactive-london,9
"Dance, Swing Dance",getactive-essex-spreadsheet,1
"Dance, Volleyball",getactive-essex-spreadsheet,1
"Dance, Youth Dance",getactive-hampshire-and-isle-of-wight-spreadsheet,1
Dancing,opensessions,1
Dancing ,opensessions,4
Darts,getactive-essex-spreadsheet,29
Darts,getactive-hampshire-and-isle-of-wight-spreadsheet,1
Darts,getactive-london,11
Dinghy Sailing,getactive-essex-spreadsheet,1
Dinghy Sailing,getactive-london,39
Disability Cycling,getactive-essex-spreadsheet,1
Disability Cycling,getactive-hampshire-and-isle-of-wight-spreadsheet,1
Disability Cycling,getactive-london,1
Disability Football,getactive-essex-spreadsheet,6
Disability Football,getactive-hampshire-and-isle-of-wight-spreadsheet,3
Disability Football,getactive-london,6
Disability Multi Sports,getactive-essex-spreadsheet,11
Disability Multi Sports,getactive-hampshire-and-isle-of-wight-spreadsheet,26
Disability Multi Sports,getactive-london,72
"Disability Multi Sports, Disability Football",getactive-essex-spreadsheet,1
Disability Sailing,getactive-essex-spreadsheet,4
Disability Sailing,getactive-london,2
Disability Sports,getactive-essex-spreadsheet,4
Disability Sports,getactive-london,21
"Disability Sports, Boccia",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Disability Sports, Disability Multi Sports",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Disability Sports, Indoor Activity",getactive-essex-spreadsheet,1
Disability Swiming,getactive-essex-spreadsheet,5
Disability Swiming,getactive-london,6
Diving,getactive-essex-spreadsheet,2
Diving,getactive-hampshire-and-isle-of-wight-spreadsheet,1
Diving,getactive-london,17
"Diving, Disability Sports",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Diving, Scuba Diving",getactive-essex-spreadsheet,1
Dodgeball,getactive-essex-spreadsheet,2
Dodgeball,getactive-london,25
Dodgeball,gloucestershire-spreadsheet,1
Dodgeball,opensessions,1
Dragon Boat Racing,getactive-london,8
Dressage,getactive-london,24
Driving,getactive-essex-spreadsheet,1
Dru Yoga,ourparks,13
Duathlon,getactive-london,2
Education and Training,getactive-london,8
Elite Fitness,ourparks,182
Endurance,getactive-london,24
Equestrian,getactive-essex-spreadsheet,20
Equestrian,getactive-hampshire-and-isle-of-wight-spreadsheet,3
Equestrian,getactive-london,16
"Equestrian, Horse Riding (General)",getactive-essex-spreadsheet,1
"Equestrian, Horse Riding (General)",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Equestrian, Polocrosse",getactive-hampshire-and-isle-of-wight-spreadsheet,1
Escrima,getactive-london,4
Eventing,getactive-london,5
Exercise,girls-move-london-spreadsheet,6
Exercise and movement to music,opensessions,6
Exercise Movement & Dance,gloucestershire-spreadsheet,11
"Exercise Movement & Dance, Aerobics",gloucestershire-spreadsheet,1
Extreme Sports,getactive-hampshire-and-isle-of-wight-spreadsheet,1
Extreme Sports,getactive-london,6
Family Bootcamp,ourparks,7
Family Fitness,getactive-london,2
Fencing,getactive-essex-spreadsheet,12
Fencing,getactive-hampshire-and-isle-of-wight-spreadsheet,9
Fencing,getactive-london,68
Fencing,gloucestershire-spreadsheet,7
"Fencing, Modern Pentathlon",gloucestershire-spreadsheet,1
Field Hockey,getactive-london,26
Field Hockey,opensessions,12
First Aid,getactive-london,7
First Aid Course,getactive-london,5
Fishing,getactive-essex-spreadsheet,1
Fishing,getactive-london,6
Fitness,getactive-essex-spreadsheet,28
Fitness,getactive-hampshire-and-isle-of-wight-spreadsheet,3
Fitness,getactive-london,1396
Fitness,girls-move-london-spreadsheet,70
Fitness ,opensessions,32
Fitness and dance,opensessions,13
"Fitness, Basketball",getactive-essex-spreadsheet,1
"Fitness, Basketball (Girls), Indoor Activity",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Fitness, Boot Camp, Personal Training",getactive-essex-spreadsheet,1
Fitness/Circuits,opensessions,8
Fitness Class,opensessions,10
"Fitness, Cycling, Family cycle ride",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Fitness, Fitness",getactive-essex-spreadsheet,1
"Fitness, Fitness, Indoor Activity",getactive-essex-spreadsheet,1
"Fitness, Fitness, Strength & Conditioning",getactive-essex-spreadsheet,1
"Fitness, Golf, Rugby Union, Football, Gym",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Fitness, Multi Sports, Multi Sports",getactive-essex-spreadsheet,1
"Fitness, Personal Training",getactive-essex-spreadsheet,1
Fitness Pilates ,opensessions,2
"Fitness, Pilates",getactive-essex-spreadsheet,2
Fitness Studio,getactive-london,14
"Fitness, Tai Chi",getactive-essex-spreadsheet,1
Fitness Tennis,ourparks,16
"Fitness, Yoga, Yoga",getactive-essex-spreadsheet,1
Folk Dance,getactive-london,1
Football,getactive-essex-spreadsheet,246
Football,getactive-hampshire-and-isle-of-wight-spreadsheet,83
Football,getactive-london,1186
Football,girls-move-london-spreadsheet,26
Football,gloucestershire-spreadsheet,35
Football,opensessions,17
Football ,opensessions,1
Football (7 a side) Adults,getactive-hampshire-and-isle-of-wight-spreadsheet,1
Football and Multi Skills ,opensessions,2
Football and Multi Sports ,opensessions,2
"Football, Disability Football",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Football, Disability Sports, Disability Football",getactive-hampshire-and-isle-of-wight-spreadsheet,3
Football Fit,ourparks,6
"Football, Football (Womens)",getactive-hampshire-and-isle-of-wight-spreadsheet,3
"Football, Gym & Fitness Classes, Climbing",getactive-essex-spreadsheet,1
"Football, Hockey, Tennis, Goalball and Cricket ...",opensessions,1
"Football, Walking Football",getactive-hampshire-and-isle-of-wight-spreadsheet,2
"Football, Walking Football, Walking",getactive-hampshire-and-isle-of-wight-spreadsheet,2
Football (Womens),getactive-essex-spreadsheet,1
Football (Womens),getactive-hampshire-and-isle-of-wight-spreadsheet,1
Football (Womens),getactive-london,29
Football (Youth),getactive-essex-spreadsheet,1
Football (Youth),getactive-hampshire-and-isle-of-wight-spreadsheet,1
