Code,Term (en-GB),Parent term,Alternate name,Type,Source,Tag,Tag,Tag,Setting,Setting,"<- note the terms here are all British (""en-GB"") terms, so we don't need to take into account internationalisation at this stage"
KEEP FIT,Keep Fit,,,Activity,Recognised Sports List,Fitness,,,,,
KENDO,Kendo,,,Activity,Recognised Sports List,Martial Arts,Combat,,,,
KITE SURFING,Kite Surfing,,,Activity,Recognised Sports List,Adventure,,,Outdoor,,
KNEE BOARDING,Knee Boarding,,,Activity,Recognised Sports List,,,,,,
KORFBALL,Korfball,,,Activity,Recognised Sports List,Team,,,,,
KUNG FU,Kung Fu,,,Activity,Recognised Sports List,Martial Arts,Combat,Chinese Martial Arts,,,
LACROSSE,Lacrosse,,,Activity,Recognised Sports List,Team,,,,,
LAND SAILING,Land Sailing,,,Activity,Recognised Sports List,,,,,,
,Land Yachting,Land Sailing,,Discipline,,,,,,,
,Sand Yachting,Land Sailing,,Discipline,,,,,,,
LIFE-SAVING,Life-saving,,,Activity,Recognised Sports List,Adventure,,,Outdoor,,
LUGE,Luge,,,Activity,Recognised Sports List,,,,,,
MMA,MMA,,,Activity,,Martial Arts,Combat,,,,
,MMA,,Mixed Martial Arts,Alternate Name,,Martial Arts,Combat,,,,
MODERN PENTATHLON,Modern Pentathlon,,,Activity,Recognised Sports List,,,,,,
MOTOR CYCLING,Motor Cycling,,,Activity,Recognised Sports List,,,,,,
,Motor Cycling,,Motorcycle racing,Alternate Name,,Motor sports,,,,,
,Motor Cycling,,Motorbike racing,Alternate Name,,Motor sports,,,,,
MOTOR RACING,Motor Racing,,,Activity,Recognised Sports List,Motor sports,,,,,
,Motor Racing,,Motor Cruising,Alternate Name,,,,,,,
,Speed way,Motor Racing,,Discipline,,,,,,,
MOUTAINEERING,Moutaineering,,,Activity,Recognised Sports List,Adventure,,,Outdoor,,
MUAY THAI,Muay Thai,,,Activity,,Martial Arts,Combat,,,,
NETBALL,Netball,,,Activity,Recognised Sports List,Team,,,,,
OBSTACLE COURSE RACING,Obstacle Course Racing,,,Activity,,,,,,,
,,,OCR racing,Alternate Name,,,,,,,
,,,Obstacle course,Alternate Name,,,,,,,
OCTOPUSH,Octopush,,,Activity,Recognised Sports List,Water,,,,,
,Octopush,,Underwater Hockey,Alternate Name,,Water,,,,,
ORIENTEERING,Orienteering,,,Activity,Recognised Sports List,Adventure,,,Outdoor,,
PARACHUTING,Parachuting,,,Activity,Recognised Sports List,,,,Outdoor,,
PARKOUR,Parkour,,,Activity,Recognised Sports List,Adventure,,,Outdoor,,
PETANQUE,Petanque,,,Activity,Recognised Sports List,,,,,,
PILATES,Pilates,,,Activity,,Fitness,,,,,
,Reformer pilates,Pilates,,Discipline,,Fitness,,,,,
POLO,Polo,,,Activity,Recognised Sports List,,,,Outdoor,,
POOL,Pool,,,Activity,Recognised Sports List,Leisure,Games,,,,
QUOITS,Quoits,,,Activity,Recognised Sports List,Leisure,Games,,,,
RACKETBALL,Racketball,,,Activity,Recognised Sports List,Racket,,,,,
,Racketball,,Rackets,Alternate Name,,Racket,,,,,
,Racketball,,Hard Racket,Alternate Name,,Racket,,,,,
RAFTING,Rafting,,,Activity,Recognised Sports List,Adventure,,,Outdoor,,
,White Water rafting,Rafting,,Discipline,,Adventure,,,Outdoor,,
,Wild Water rafting,Rafting,,Discipline,,Adventure,,,Outdoor,,
RAMBLING,Rambling,,Rambling,Activity,Recognised Sports List,,,,,,
,Rambling,,Long distance walking,Alternate Name,,,,,,,
REAL TENNIS,Real Tennis,,,Activity,Recognised Sports List,Racket,,,,,
ROLLER BLADING,Roller Blading,,,Activity,,Skating sports,Roller sports,,,,
ROLLER DERBY,Roller Derby,,,Activity,Recognised Sports List,Skating sports,Roller sports,,,,
ROLLER HOCKEY,Roller hockey,,,Activity,Recognised Sports List,Skating sports,Roller sports,,,,
,Roller hockey,,Inline Puck Hockey,Alternate Name,,Skating sports,Roller sports,,,,
,Roller hockey,,Inline Skater Hockey,Alternate Name,,Skating sports,Roller sports,,,,
,Roller hockey,,Puck Hockey,Alternate Name,,Skating sports,Roller sports,,,,
,Roller hockey,,Skater Hockey,Alternate Name,,Skating sports,Roller sports,,,,
ROLLER SKATING,Roller Skating,,,Activity,Recognised Sports List,Skating sports,Roller sports,,,,
,Roller Skating,,Inline skating,Alternate Name,,Skating sports,Roller sports,,,,
,Roller Skating,,Speed Skating,Alternate Name,,Skating sports,Roller sports,,,,
,Roller Skating,,Artistic Roller Skating,Alternate Name,,Skating sports,Roller sports,,,,
ROUNDERS,Rounders,,,Activity,Recognised Sports List,Team,Gaelic,,,,
ROWING,Rowing,,,Activity,Recognised Sports List,,,,,,
,Water rowing,Rowing,,Discipline,,,,,Outdoor,,
,Indoor rowing,Rowing,,Discipline,,,,,Indoor,,
,Rowing machine,Rowing,,Discipline,,,,,,,
RUGBY LEAGE,Rugby League,,,Activity,Recognised Sports List,Team,,,,,
,13 a-side rugby league,Rugby League,,Discipline,,,,,,,
,Touch rugby league,Rugby League,,Discipline,,Team,,,,,
,Tag rugby league,Rugby League,,Discipline,,Team,,,,,
RUGBY UNION,Rugby Union,,,Activity,Recognised Sports List,Team,,,,,
,15 a-side rugby union,Rugby Union,,Discipline,,,,,,,
,Touch rugby union,Rugby Union,,Discipline,,Team,,,,,
,Rugby sevens,Rugby Union,,Discipline,,Team,,,,,
,Tag rugby union,Rugby Union,,Discipline,,Team,,,,,
RUNNING,Running,,,Activity,,,,,,,
,Running,,Jogging,Alternate Name,,,,,,,
,Fell running,Running,,Discipline,,,,,,,
,Running machine,Running,,Discipline,,,,,,,
,Treadmill,Running,,Discipline,,,,,,,
SAILING,Sailing,,,Activity,Recognised Sports List,Adventure,,,Outdoor,,
,Sailing,,Yachting,Alternate Name,Recognised Sports List,,,,,,
,Powerboating,Sailing,,Discipline,,,,,,,
SCUBA DIVING,Scuba diving,,,Activity,,Adventure,,,Outdoor,,
SHINTY,Shinty,,,Activity,Recognised Sports List,Team,,,,,
SHOOTING,Shooting,,,Activity,Recognised Sports List,,,,,,
,Clay Pigeon,Shooting,,Discipline,,,,,,,
